coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Aug 05 13:43:09 +0000 2021,,,,1,1423278406167187458,tomo9000p,1423265498217828356,918892290927669200,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tomo9000p @SilverMarketFan @ESPI_Operator @sylkarp @averageguy62 Rozmawialem ostatnio z kierowca robiacym w  kurierce miedzy hubami. Ukraina potrafila przyjsc z kupionym prawkiem c+e.,https://twitter.com/roboter15/status/1423278406167187458,Tue Jul 17 17:39:49 +0000 2018,1019275493173026817,false,Wyckoffian,2010,430,494,8,,roboter,roboter15,5890,,,false
,Thu Aug 05 12:12:01 +0000 2021,,,,0,1423255469389406209,,,,pl,,,,129,1423196721635528706,mefistofelleess,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A więc jeśli się nie zaszczepimy, to wszyscy umrzemy wraz z IV falą, a kraje w których zaszczepiono, 

Indonezja 7,9% populacji, 
Bośnia &gt;7%, 
Tajlanda 5,7%, 
Ukraina 4,8% 
Egipt &gt;1,8%, 
Afganistan &gt;0,6%, 
Syria &gt;0,1%, 

Znikną z powierzchni ziemi wraz z nadejściem jesieni? 🙃",https://twitter.com/west_wiki/status/1423255469389406209,Tue Jan 05 17:38:46 +0000 2021,1346511360725807105,true,"Dowcip, polityka, prawo, nauka
Banuje chamstwo i uciazliwy brak logiki",104524,938,1335,10,,WIKI WEST,west_wiki,122724,,,false
,Thu Aug 05 13:51:38 +0000 2021,,,,0,1423280539981602821,lukasz_nd,1423278115904638985,921149083762520000,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@lukasz_nd To są spekulacje wbrew faktom. Bo źródła mówią, że Waszyngton i Moskwa były przeciwne secesji Ukrainy, a Ukraina jednak secesji dokonała.",https://twitter.com/KKazmierczakK/status/1423280539981602821,Sat Jul 20 16:09:31 +0000 2013,1608554546,false,Polak na Wileńszczyźnie,11611,2544,1307,10,,Karol Kaźmierczak,KKazmierczakK,20863,,https://www.facebook.com/pages/Karol-Ka%C5%BAmierczak/249144695233021,false
,Thu Aug 05 16:27:30 +0000 2021,,,,0,1423319766320697345,,,,pl,,,,129,1423196721635528706,mefistofelleess,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A więc jeśli się nie zaszczepimy, to wszyscy umrzemy wraz z IV falą, a kraje w których zaszczepiono, 

Indonezja 7,9% populacji, 
Bośnia &gt;7%, 
Tajlanda 5,7%, 
Ukraina 4,8% 
Egipt &gt;1,8%, 
Afganistan &gt;0,6%, 
Syria &gt;0,1%, 

Znikną z powierzchni ziemi wraz z nadejściem jesieni? 🙃",https://twitter.com/primoszprawy/status/1423319766320697345,Tue Oct 27 14:48:31 +0000 2015,4054103302,false,"Sympatyk Ruchu Narodowego i Konfederacji.
Bliska memu sercu jest myśl polityczna Romana Dmowskiego.

#StopSegregacjiSanitarnej
#PolExit",44603,617,954,1,Wielka Polska,Przemysław Świrta 🇵🇱🤝🇭🇺,primoszprawy,6612,,https://konfederacja.pl/po-stronie-polski/,false
,Thu Aug 05 11:21:15 +0000 2021,,,,0,1423242694114091008,,,,pl,,,,129,1423196721635528706,mefistofelleess,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A więc jeśli się nie zaszczepimy, to wszyscy umrzemy wraz z IV falą, a kraje w których zaszczepiono, 

Indonezja 7,9% populacji, 
Bośnia &gt;7%, 
Tajlanda 5,7%, 
Ukraina 4,8% 
Egipt &gt;1,8%, 
Afganistan &gt;0,6%, 
Syria &gt;0,1%, 

Znikną z powierzchni ziemi wraz z nadejściem jesieni? 🙃",https://twitter.com/stefanwilczysk1/status/1423242694114091008,Sat Jan 16 19:08:42 +0000 2016,4818861741,false,"Wierzę w
 lepsze jutro... Ani prawy Ani lewy 💪💪",174649,3093,5002,7,Polska,stefan wilczyński,stefanwilczysk1,125379,,,false
,Thu Aug 05 11:59:30 +0000 2021,,,,0,1423252319706169346,vonfishura,1423178185613664260,863081281,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@vonfishura @sport_tvppl ukraina gdzie w tej konkurencji???? hahaha,https://twitter.com/Cukier77821679/status/1423252319706169346,Thu Aug 29 16:26:13 +0000 2019,1167111007367585808,true,,2379,13,91,2,,Cukier,Cukier77821679,1602,,,false
,Thu Aug 05 13:55:02 +0000 2021,,,,0,1423281395112108040,,,,pl,,,,129,1423196721635528706,mefistofelleess,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A więc jeśli się nie zaszczepimy, to wszyscy umrzemy wraz z IV falą, a kraje w których zaszczepiono, 

Indonezja 7,9% populacji, 
Bośnia &gt;7%, 
Tajlanda 5,7%, 
Ukraina 4,8% 
Egipt &gt;1,8%, 
Afganistan &gt;0,6%, 
Syria &gt;0,1%, 

Znikną z powierzchni ziemi wraz z nadejściem jesieni? 🙃",https://twitter.com/PWidzenia/status/1423281395112108040,Fri Jul 16 10:41:30 +0000 2021,1415984893247565827,false,Punkt widzenia zale.....,11,3,9,0,,Punkt_widzenia,PWidzenia,48,,,false
,Thu Aug 05 09:12:52 +0000 2021,,,,0,1423210383586873345,,,,pl,,,,129,1423196721635528706,mefistofelleess,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A więc jeśli się nie zaszczepimy, to wszyscy umrzemy wraz z IV falą, a kraje w których zaszczepiono, 

Indonezja 7,9% populacji, 
Bośnia &gt;7%, 
Tajlanda 5,7%, 
Ukraina 4,8% 
Egipt &gt;1,8%, 
Afganistan &gt;0,6%, 
Syria &gt;0,1%, 

Znikną z powierzchni ziemi wraz z nadejściem jesieni? 🙃",https://twitter.com/andrzej75_/status/1423210383586873345,Mon Sep 28 21:07:42 +0000 2020,1310687213739560961,false,"To nie wirus wymaga obostrzeń, to obostrzenia wymagały wirusa.",107927,405,565,1,,Andrzej75 ∞ 🙂,andrzej75_,15990,,,false
,Thu Aug 05 12:06:42 +0000 2021,,,,0,1423254130559176710,KKazmierczakK,1423253386086998017,1608554546,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KKazmierczakK Tyle, że Ukraina nie poszła w ""samobójczy nacjonalizm"" wojsko radzieckie i później rosyjskie  pozostało na terytorium Ukrainy na długie lata.",https://twitter.com/lukasz_nd/status/1423254130559176710,Thu Oct 19 23:00:30 +0000 2017,921149083762520064,false,"Soczewica, koło, miele, młyn.
Poglądy: 
Radykalny realizm narodowy.
zaimki: Czarny Ali Babo/Miłościwy Panie.
W jatce rosyjsko-ukrainskiej po stronie Polski.",26512,561,410,17,,Łukasz Widomski,lukasz_nd,42268,,,false
,Thu Aug 05 10:20:46 +0000 2021,,,,0,1423227474368991232,,,,pl,,,,129,1423196721635528706,mefistofelleess,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A więc jeśli się nie zaszczepimy, to wszyscy umrzemy wraz z IV falą, a kraje w których zaszczepiono, 

Indonezja 7,9% populacji, 
Bośnia &gt;7%, 
Tajlanda 5,7%, 
Ukraina 4,8% 
Egipt &gt;1,8%, 
Afganistan &gt;0,6%, 
Syria &gt;0,1%, 

Znikną z powierzchni ziemi wraz z nadejściem jesieni? 🙃",https://twitter.com/dobieslav/status/1423227474368991232,Thu Jun 18 16:18:28 +0000 2015,3332912681,false,,15268,859,2504,9,,kikiriki,dobieslav,55315,,,false
